"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"958","Canon PowerShot S110 (Digital IXUS V)","462","Active","No","Battery Pack","Ultracompact","Yes",NA,"Yes",8,NA,"No","No","No","No","No","2.8","4","1.2",2,"No",NA,1.5,2,"No","250","USB 1.0 (1.5 Mbit/sec)",2,"No",NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,57,27,133893,"No","No","No","Yes","No",88
"959","Canon PowerShot A20","138","Active","No","AA","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.7","4.8","2.1",3,"No",NA,1.5,2,"No","375","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,71,38,296780,"No","No","No","Yes","No",88
"960","Canon PowerShot 600","802","Active","No","Battery Pack","Compact","Yes",NA,"No",1,NA,"No","No","No","No","Yes",NA,NA,NA,1,"No",NA,NA,1,"RAW","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,93,59,877920,"No","No","No","Yes","No",22350
"961","Pentax K-1","694","Active","Yes","Battery Pack","Mid-size SLR","No",NA,NA,NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1037000,3.2,37,"RAW","1010","USB 2.0 (480 Mbit/sec)",4.4,"Yes",1,"Yes","No","BuiltIn","Stereo",100,38,0.7,NA,"Mono",NA,NA,34,"Built-In","Yes","Yes",137,110,86,1296020,"No","No","Yes","No","No",21024
"962","Pentax K-3 II","657","Active","Yes","Battery Pack","Mid-size SLR","No",NA,"No",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1037000,3.2,25,"RAW","800","USB 3.0 (5 GBit/sec)",8.3,"Yes",1.5,"Yes","No","BuiltIn","Mono",100,39,0.95,NA,"Mono",NA,NA,72,"Optional","Yes","Yes",131,100,77,1008700,"No","No","Yes","No","No",19320
"963","Pentax K-S2","720","Active","Yes","Battery Pack","Compact SLR","Yes","12",NA,NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,20,"RAW","678","USB 2.0 (480 Mbit/sec)",5.4,"Yes",1.5,"Yes","Yes","Optional","Stereo",100,18,0.95,NA,"Mono",NA,NA,40,"Built-In","No","No",91,123,73,817089,"No","No","Yes","No","No",17028
"964","Ricoh WG-M1","843","Active","No","Battery Pack","Compact","No",NA,NA,100,NA,"Yes","No","Yes","No","Yes","2.8","2.8","0",NA,"Yes",115000,1.5,NA,"No","190","USB 2.0 (480 Mbit/sec)",NA,"No",NA,"No","No","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,7,"Built-In","No","No",66,43,89,252582,"No","Yes","No","Yes","No",11648
"965","Pentax K-S1","675","Active","Yes","Battery Pack","Mid-size SLR","Yes","10","No",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,20,"RAW","558","USB 2.0 (480 Mbit/sec)",5.4,"Yes",1.5,"Yes","Yes","Optional","Stereo",100,18,0.95,NA,"Mono",NA,NA,40,"Eye-Fi Connected","No","No",121,93,70,787710,"No","No","Yes","No","No",17028
"966","Pentax Q-S1","684","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4.9",NA,NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",460000,3,13,"RAW","203","USB 2.0 (480 Mbit/sec)",5,"Yes",5.6,"Yes","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,26,NA,"No","No",105,58,34,207060,"Yes","Yes","Yes","Yes","No",9100
"967","Pentax XG-1","758","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","6","Yes",15.4,NA,"No","No","Yes","Sensor-shift","Yes","2.8","5.6","2.8",52,NA,460000,3,17,"No","567","USB 2.0 (480 Mbit/sec)",9,"Yes",NA,"Yes","Yes","None","Mono",NA,NA,NA,2e+05,"Mono",NA,NA,22,"Eye-Fi Connected",NA,NA,119,89,98,1037918,"No","Yes","Yes","Yes","No",13899
