"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"1855","Casio QV-7000SX","663","Discontinued","Yes","AA","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.8","5.6","2.8",2,"No",NA,2.5,1,"No","320",NA,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,75,53,560475,"No","No","No","Yes","No",620
"1856","Casio QV-5000SX","655","Discontinued","No","AA","Compact","Yes",NA,"No",8,NA,"No","No","No","No","Yes","2.8","8","5.2",1,"No",NA,1.8,1,"No","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,69,50,507150,"No","No","No","Yes","No",620
"1857","Casio QV-770","795","Discontinued","No","AA","Compact","Yes",NA,"No",4,NA,"No","No","No","No","Yes","2","8","6",1,"No",NA,1.8,0,"No","300",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,66,38,323532,"No","No","No","Yes","No",20449
"1858","Casio QV-700","869","Discontinued","No","AA","Compact","Yes",NA,"No",4,NA,"No","No","No","No","Yes","2","8","6",1,"No",NA,2.5,0,"No","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,69,50,507150,"No","No","No","Yes","No",20449
"1859","Casio QV-300","820","Discontinued","No","AA","Compact","Yes",NA,"No",4,NA,"No","No","No","No","Yes","2.6","8","5.4",2.3,"No",NA,2.5,0,"No","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,72,49,571536,"No","No","No","Yes","No",20449
"1860","Ricoh R10","854","Discontinued","No","Battery Pack","Compact","Yes","3","Yes",54,NA,"No","No","No","Sensor-shift","Yes","3.3","5.2","1.9",7.1,"Yes",460000,3,10,"No","190","USB 2.0 (480 Mbit/sec)",NA,"Yes",NA,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,58,26,153816,"Yes","No","Yes","Yes","No",7221
"1861","Ricoh Caplio R40","487","Discontinued","No","Battery Pack","Ultracompact","Yes","2.4","Yes",26,NA,"No","No","No","No","No","3.3","4.8","1.5",5.7,"No",153000,2.5,6,"No","165","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,53,26,130910,"No","No","Yes","Yes","No",2970
"1862","Ricoh Caplio 500G","508","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",26,NA,"Yes","No","No","No","Yes","2.5","4.3","1.8",3,"No",153000,2.5,8,"TIFF","450","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,79,74,777518,"No","No","No","Yes","No",5184
"1863","Ricoh Caplio R4","185","Discontinued","No","Battery Pack","Ultracompact","Yes","2.4","Yes",26,NA,"No","No","No","Sensor-shift","No","3.3","4.8","1.5",7.1,"No",153000,2.5,6,"No","165","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,53,26,130910,"No","No","Yes","Yes","No",2970
"1864","Ricoh Caplio RR630","185","Discontinued","No","AA","Compact","Yes",NA,"Yes",12,NA,"No","No","No","No","Yes","2.8","4.8","2",3,"No",130000,2,6,"No","200","USB 1.0 (1.5 Mbit/sec)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,27,61,149877,"No","No","Yes","Yes","No",2970
"1865","Ricoh Caplio R30","225","Discontinued","No","Battery Pack","Ultracompact","Yes","2.4","Yes",28,NA,"No","No","No","No","No","3.3","4.8","1.5",5.7,"No",114000,2.5,5,"TIFF","180","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,53,26,130910,"No","No","Yes","Yes","No",1760
"1866","Ricoh Caplio RR530","593","Discontinued","No","AA","Compact","Yes","2.4","Yes",12,NA,"No","No","No","No","Yes","2.8","4.8","2",3,"No",130000,1.8,5,"No","190","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,27,61,149877,"No","No","No","Yes","No",1760
"1867","Ricoh GR Digital","580","Discontinued","Yes","Battery Pack","Compact","Yes","3","Yes",26,NA,"No","Yes","No","No","Yes","2.4","2.4","0",1,"No",210000,2.5,9,"Unknown","200","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,"Yes",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,25,58,155150,"No","No","Yes","Yes","No",5184
"1868","Ricoh Caplio R3","641","Discontinued","No",NA,"Ultracompact","Yes","2.4","Yes",26,NA,"No","No","No",NA,"No","3.3","4.8","1.5",7.1,"No",114000,2.5,5,NA,"165","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,53,26,130910,"No","No","No","No","No",1760
"1869","Ricoh Caplio GX8","23","Discontinued","Yes","Battery Pack","Compact","Yes","5","Yes",26,NA,"No","No","No","No","Yes","2.5","4.3","1.8",3,"No",130000,1.8,9,"TIFF","260","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,29,58,191748,"No","No","Yes","Yes","No",5184
"1870","Ricoh Caplio R2","206","Discontinued","No","Battery Pack","Ultracompact","Yes",NA,"Yes",28,NA,"No","No","No","No","No","3.3","4.8","1.5",4.8,"No",114000,2.5,5,"TIFF","195","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,55,25,137500,"No","No","No","Yes","No",1760
"1871","Ricoh Caplio R1V","274","Discontinued","No","Battery Pack","Ultracompact","Yes",NA,"Yes",12,NA,"No","No","No","No","No","3.3","4.8","1.5",4.8,"No",110000,1.8,5,"TIFF","195","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,55,25,137500,"No","No","No","Yes","No",1760
"1872","Ricoh Caplio R1","274","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",12,NA,"No","No","No","No","Yes","3.3","4.8","1.5",4.8,"No",110000,1.8,5,"TIFF","195","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,55,25,137500,"No","No","No","Yes","No",1295
"1873","Ricoh Caplio RX","454","Discontinued","No","AA","Compact","Yes","3","Yes",8,NA,"No","No","No","No","Yes","3.1","5.8","2.7",3.6,"No",85000,1.8,3,"TIFF","215","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,29,56,181888,"No","No","No","Yes","No",672
"1874","Ricoh Caplio G3","143","Discontinued","No","AA","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.6","4.7","2.1",3,"No",80000,1.6,3,"TIFF","230","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,"None","None",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,124,36,56,249984,"No","No","No","Yes","No",672
"1875","Ricoh Caplio RR1","514","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.6","3.4","0.8",3,"No",2e+05,2,4,"TIFF","340","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,74,27,269730,"No","No","No","Yes","No",1088
"1876","Ricoh RDC-i500","792","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.6","3.4","0.8",3,"No",2e+05,2,3,"TIFF","320","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,31,78,343356,"No","No","No","Yes","No",672
"1877","Ricoh RDC-i700","638","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.6","3.4","0.8",3,"No",NA,3.5,3,"TIFF","450","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,93,33,481833,"No","No","No","Yes","No",672
"1878","Ricoh RDC-200G","776","Discontinued","No","AA","Compact","Yes",NA,"Yes",8,NA,"Yes","Yes","No","No","Yes",NA,NA,NA,3,"No",110000,1.8,2,"No","500","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,88,72,912384,"No","No","Yes","No","No",144
"1879","Ricoh RDC-6000","194","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes",NA,NA,NA,1,"No",NA,1.8,2,"No","300","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,67,40,294800,"No","No","No","Yes","No",88
"1880","Ricoh RDC-7","194","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.6","3.4","0.8",3,"No",2e+05,2,3,"TIFF","320","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,27,74,269730,"No","No","No","Yes","No",672
"1881","Ricoh RDC-5300","827","Discontinued","No","AA","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.8","3.2","0.4",3,"No",110000,1.8,2,"No","380","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,68,54,481032,"No","No","Yes","No","No",144
"1882","Ricoh RDC-5000","695","Discontinued","No","AA","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes","2.8","3.2","0.4",2.3,"No",110000,1.8,2,"No","340","USB 1.0 (1.5 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,68,40,356320,"No","No","Yes","No","No",144
"1883","Ricoh RDC-4300","780","Discontinued","No","AA","Compact","Yes",NA,"No",4,NA,"No","No","No","No","Yes","2.8","4.7","1.9",3,"No",NA,2,1,"No","320",NA,NA,"No",NA,NA,NA,"None","None",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,135,65,35,307125,"No","No","No","Yes","No",620
"1884","Leica C-LUX 2","797","Discontinued","No","Battery Pack","Ultracompact","Yes","5",NA,64,NA,"No","No","No","Optical","No","2.8","5.6","2.8",3.6,"Yes",207000,2.5,7,"No","155","USB 1.0 (1.5 Mbit/sec)",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200",NA,NA,NA,NA,NA,95,52,22,108680,"No","Yes","Yes","Yes","No",4290
"1885","Leica Digilux 3","583","Discontinued","Yes","Battery Pack","Mid-size SLR","Yes",NA,"Yes",0,NA,"No","Yes","No","No","Yes",NA,NA,NA,NA,"Yes",207000,2.5,8,"RAW","606","USB 2.0 (480 Mbit/sec)",3,NA,2,NA,NA,"None","None",95,22,0.93,NA,NA,NA,NA,NA,NA,NA,NA,146,87,77,978054,"No","Yes","Yes","Yes","No",4692
"1886","Leica D-LUX 3","583","Discontinued","Yes","Battery Pack","Ultracompact","Yes","4.9","Yes",13,NA,"No","No","No","Optical","No","2.8","4.9","2.1",4,"Yes",207000,2.8,10,"RAW","220","USB 2.0 (480 Mbit/sec)",2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200",NA,NA,NA,NA,NA,106,56,26,154336,"No","Yes","Yes","Yes","No",6762
"1887","Leica V-LUX 1","583","Discontinued","Yes","Battery Pack","Compact","Yes","7","Yes",32,NA,"No","Yes","No","Optical","Yes","2.8","3.7","0.9",12,"Yes",207000,2,10,"RAW","734","USB 2.0 (480 Mbit/sec)",2,"Yes",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,"3200",NA,NA,NA,NA,NA,141,86,142,1721892,"No","Yes","Yes","Yes","No",7221
"1888","Leica M8","583","Discontinued","Yes","Battery Pack","Rangefinder-style mirrorless","No",NA,"No",0,NA,"No","Yes","No","No","No",NA,NA,NA,NA,"No",230000,2.5,10,"RAW","591","USB 2.0 (480 Mbit/sec)",NA,"Yes",1.3,NA,NA,"None","None",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,139,80,37,411440,"No","No","Yes","No","No",7387
"1889","Leica C-LUX 1","27","Discontinued","No","Battery Pack","Ultracompact","Yes","4","Yes",16,NA,"No","No","No","Optical","No","2.8","5.6","2.8",3.6,"No",207000,2.5,6,"No","155","USB 1.0 (1.5 Mbit/sec)",3,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1600",NA,NA,NA,NA,NA,94,51,24,115056,"No","Yes","Yes","Yes","No",2970
"1890","Leica D-LUX 2","530","Discontinued","Yes","Battery Pack","Compact","Yes","4","Yes",32,NA,"No","No","No","Optical","Yes","2.8","4.9","2.1",4,"Yes",207000,2.5,9,"RAW + TIFF","220","USB 1.0 (1.5 Mbit/sec)",3,"Yes",NA,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,56,26,154336,"No","Yes","Yes","Yes","No",5160
"1891","Leica Digilux 2","125","Discontinued","Yes","Battery Pack","Compact","Yes","4",NA,64,NA,"No","Yes","No","No","Yes","2","2.4","0.4",3.2,"No",211000,2.5,5,"RAW","705","USB 2.0 (480 Mbit/sec)",2.7,"Yes",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,82,103,1140210,"No","No","No","Yes","No",1760
"1892","Leica Digilux 1","188","Discontinued","Yes","Battery Pack","Compact","Yes","4.5","Yes",64,NA,"No","Yes","No","No","Yes","2","2.5","0.5",3,"No",2e+05,2.5,4,"TIFF","455","USB 1.0 (1.5 Mbit/sec)",3.8,"Yes",NA,NA,NA,"None","None",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,127,83,67,706247,"No","No","No","Yes","No",992
"1893","Leica Digilux 4.3","560","Discontinued","No","Battery Pack","Compact","Yes","4","Yes",16,NA,"No","No","No","No","Yes","2.8","4.5","1.7",3,"No",130000,2,2,"No","280","USB 1.0 (1.5 Mbit/sec)",10,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,98,33,252252,"No","No","No","Yes","No",1560
"1894","Leica Digilux Zoom","711","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",8,NA,"No","No","No","No","Yes",NA,NA,NA,3,"No",130000,2,2,"No","270",NA,3,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,98,33,255486,"No","No","No","No","Yes",16
"1895","Leica Digilux","849","Discontinued","No","Battery Pack","Compact","Yes",NA,"Yes",2,NA,"No","No","No","No","Yes","3.2","8","4.8",1,"No",110000,2,2,"No","260",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,101,33,266640,"No","No","No","No","Yes",16
"1896","Fujifilm FinePix A100","211","Discontinued","No","AA","Compact","Yes","3.9","Yes",52,NA,"No","No","No","No","Yes","3.1","5.6","2.5",3,"No",230000,2.7,NA,"No","124","USB 2.0 (480 Mbit/sec)",NA,"No",NA,"No","Yes",NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,61,22,123464,"No","No","Yes","Yes","No",7221
"1897","Fujifilm FinePix J100","40","Discontinued","No",NA,"Compact","Yes",NA,"Yes",24,NA,"No","No","No",NA,"Yes","3.3","5.1","1.8",5,"No",230000,2.7,NA,NA,"186","USB 2.0 (480 Mbit/sec)",1.7,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,58,23,122728,"No","No","No","No","No",7221
"1898","Fujifilm FinePix J110W","40","Discontinued","No",NA,"Compact","Yes",NA,"Yes",24,NA,"No","No","No",NA,"Yes","3.3","5.2","1.9",5,"No",230000,2.7,NA,NA,"186","USB 2.0 (480 Mbit/sec)",1.7,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,58,23,122728,"No","No","No","No","No",7221
"1899","Fujifilm FinePix J250","662","Discontinued","No","Battery Pack","Compact","Yes","3","Yes",23,NA,"No","No","No","Sensor-shift","Yes","3.3","5.2","1.9",5,"No",230000,3,NA,"No","171","USB 2.0 (480 Mbit/sec)",1.7,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,58,23,122728,"No","No","Yes","Yes","No",7221
"1900","Fujifilm FinePix Z20fd","245","Discontinued","No","Battery Pack","Ultracompact","Yes","3.9","Yes",45,NA,"No","No","No","No","No","3.7","4","0.3",3,"No",115000,2.5,NA,"No","111","USB 2.0 (480 Mbit/sec)",1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,56,19,96824,"No","No","Yes","Yes","No",7221
"1901","Fujifilm FinePix J50","245","Discontinued","No","Battery Pack","Ultracompact","Yes","3.5","Yes",12,NA,"No","No","No","No","No","2.8","5.6","2.8",5,"No",230000,2.7,NA,"No","181","USB 2.0 (480 Mbit/sec)",0.6,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,55,23,121440,"No","No","Yes","Yes","No",5184
"1902","Fujifilm FinePix J10","245","Discontinued","No","Battery Pack","Ultracompact","Yes","4","Yes",12,NA,"No","No","No","No","No","2.8","5.2","2.4",3,"No",115000,2.5,NA,"No","150","USB 2.0 (480 Mbit/sec)",0.6,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,55,19,95095,"No","No","Yes","Yes","No",5184
"1903","Fujifilm FinePix F100fd","245","Discontinued","No","Battery Pack","Compact","Yes","4.3","Yes",47,NA,"No","No","No","Sensor-shift","Yes","3.3","5.1","1.8",5,"No",230000,2.7,NA,"No","210","USB 2.0 (480 Mbit/sec)",5,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,59,23,132986,"No","No","Yes","Yes","No",9100
"1904","Fujifilm FinePix S1000fd","245","Discontinued","Yes","AA","Compact","Yes","8.7","Yes",24,NA,"No","No","No","No","Yes","2.8","5","2.2",12,"No",230000,2.7,NA,"No","325","USB 2.0 (480 Mbit/sec)",1.4,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,73,68,511292,"No","No","Yes","Yes","No",7221
"1905","Fujifilm FinePix S100fs","245","Discontinued","Yes",NA,"Compact","Yes","4.3","Yes",25,NA,"No","Yes","No","Optical","Yes","2.8","5.3","2.5",14.3,"No",230000,2.5,NA,NA,"918","USB 2.0 (480 Mbit/sec)",3,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,94,150,1875300,"No","No","Yes","Yes","No",8256
"1906","Fujifilm FinePix A920","345","Discontinued","No",NA,"Compact","Yes","3.9","Yes",10,NA,"No","No","No","No","Yes","2.9","7.1","4.2",4,"No",115000,2.7,9,NA,"206","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,62,32,194432,"No","No","Yes","Yes","No",6396
"1907","Fujifilm FinePix Z10fd","345","Discontinued","No","Battery Pack","Ultracompact","Yes","3.9","Yes",54,NA,"No","No","No","No","No","3.7","4.9","1.2",3,"No",150000,2.5,7,"No","160","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,57,19,98553,"No","No","Yes","Yes","No",4290
"1908","Fujifilm FinePix F50fd","345","Discontinued","Yes","Battery Pack","Compact","Yes","4.4","Yes",25,NA,"No","No","No","Sensor-shift","Yes","2.8","5.1","2.3",3,"No",230000,2.7,NA,"No","205","USB 2.0 (480 Mbit/sec)",2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,59,23,126201,"No","No","Yes","Yes","No",9100
"1909","Fujifilm FinePix F480 Zoom","345","Discontinued","No","Battery Pack","Compact","Yes","4","Yes",12,NA,"No","No","No","No","Yes","2.7","5.4","2.7",4,"No",230000,2.7,8,"No","170","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,55,23,121440,"No","No","Yes","Yes","No",5184
"1910","Fujifilm FinePix S8000fd","345","Discontinued","Yes","Battery Pack","Compact","Yes","8.8","Yes",58,NA,"No","No","No",NA,"Yes","2.8","4.5","1.7",18,"No",230000,2.4,8,"Unknown","510","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,"No","Yes","None","Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,78,79,683982,"No","No","No","No","No",5184
"1911","Fujifilm FinePix A820","184","Discontinued","No","AA","Compact","Yes","3.9","Yes",10,NA,"No","No","No","No","Yes","2.9","6.3","3.4",4,"No",115000,2.5,8,"No","205","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,62,32,194432,"No","No","Yes","Yes","No",5624
"1912","Fujifilm FinePix A900","184","Discontinued","No","AA","Compact","Yes","3.9","Yes",10,NA,"No","No","No","No","Yes","2.9","6.3","3.4",4,"No",115000,2.5,9,"No","205","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,62,32,194432,"No","No","Yes","Yes","No",6396
"1913","Fujifilm FinePix A610","276","Discontinued","No","AA","Compact","Yes","3.5","Yes",10,NA,"No","No","No","No","Yes","3","5.4","2.4",3,"No",115000,2.5,6,"No","195","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,62,31,188356,"No","No","Yes","Yes","No",3306
"1914","Fujifilm FinePix A800","276","Discontinued","No","AA","Compact","Yes","3.8","Yes",10,NA,"No","No","No","No","Yes","2.8","5.1","2.3",3,"No",115000,2.5,8,"No","200","USB 2.0 (480 Mbit/sec)",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,62,31,188356,"No","No","Yes","Yes","No",5624
"1915","Fujifilm FinePix F40fd","276","Discontinued","No","Battery Pack","Compact","Yes","6.5","Yes",25,NA,"No","No","No","No","Yes","2.8","5.1","2.3",3,"No",230000,2.5,8,"No","181","USB 2.0 (480 Mbit/sec)",1.3,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,59,23,130272,"No","No","Yes","Yes","No",5624
"1916","Fujifilm FinePix IS-1","276","Discontinued","Yes","AA","Compact","Yes","5.6","Yes",NA,NA,"No","Yes","No","No","Yes","2.8","4.9","2.1",10.7,"No",235000,2,9,"RAW","750","USB 2.0 (480 Mbit/sec)",1.5,"Yes",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,93,129,1535616,"No","No","Yes","Yes","No",6396
"1917","Fujifilm FinePix F31fd","625","Discontinued","Yes","Battery Pack","Compact","Yes","3","Yes",26,NA,"No","No","No","No","Yes","2.8","5","2.2",3,"No",230000,2.5,6,"No","185","USB 1.0 (1.5 Mbit/sec)",2.2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,57,28,148428,"No","No","Yes","Yes","No",3306
"1918","FujiFilm FinePix S9100 (FinePix S9600)","79","Discontinued","Yes","AA","Compact","Yes","5.6","Yes",NA,NA,"No","Yes","No","No","Yes","2.8","4.9","2.1",10.7,"No",235000,2,9,"RAW","750","USB 2.0 (480 Mbit/sec)",1.5,"Yes",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,93,129,1535616,"No","No","Yes","Yes","No",6396
"1919","Fujifilm FinePix F20 Zoom","314","Discontinued","No","Battery Pack","Compact","Yes","6.5","Yes",10,NA,"No","No","No","No","Yes","2.8","5","2.2",3,"No",153000,2.5,6,"No","190","USB 2.0 (480 Mbit/sec)",2.2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,57,27,144666,"No","No","Yes","Yes","No",3306
"1920","FujiFilm FinePix S6000fd (FinePix S6500fd)","314","Discontinued","Yes","AA","Compact","Yes","8.3","Yes",10,NA,"No","No","No","No","Yes","2.8","4.9","2.1",10.7,"No",235000,2.5,6,"RAW","700","USB 2.0 (480 Mbit/sec)",2.2,"Yes",NA,NA,NA,NA,"Mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,98,128,1643264,"No","No","Yes","Yes","No",3306
"1921","Fujifilm FinePix Z3","498","Discontinued","No","Battery Pack","Ultracompact","Yes","3","Yes",10,NA,"No","No","No","No","No","3.5","4.2","0.7",3,"No",232000,2.5,5,"No","170","USB 2.0 (480 Mbit/sec)",2.2,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,56,20,99680,"No","No","Yes","Yes","No",2205
"1922","Fujifilm FinePix A600 Zoom","149","Discontinued","No","AA","Compact","Yes","3.2","Yes",12,NA,"No","No","No","No","Yes","2.8","5.2","2.4",3,"No",112000,2.4,6,"No","195","USB 1.0 (1.5 Mbit/sec)",1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,60,30,167400,"No","No","Yes","Yes","No",3306
